Global_ID,Cases,Cases_ID,Angle,Vertical_Steps_Section,Horizontal_Steps_Plan,Balcony_Steps,PV_Canopy_Steps,Vertical_Louvre_Steps,sDA,ASE,UDI_Middle,UDI_Low,UDI_High,Winter_Average_Radation_kWh/m2,Summer_Average_Radation_kWh/m2,Area_Active_Solar_Potential,PercArea_Active_Solar_Potential,Area_PV_Potential,PercArea_PV_Potential,Glass_Area,Opaque_Area,Surface_Area,Floor_Area,S/F_RATIO,Canopy_Area,Handrail_Area,Louvers_Area,
Case_088,Back,Back_088,0,-1.2,0.6,2.4,1.2,0,64.86,41.613333,63.4,12.33,24.27,285.16,8.13,4.86,7.89,34.02,55.26,43.74,46.98,90.72,116.64,0.78,19.44,14.58,0,
Case_089,Back,Back_089,0,-1.2,0.6,2.4,1.2,0.6,56.2,37.833333,67.55,13.98,18.48,245.16,6.9,8.75,11.02,34.02,42.86,43.74,46.98,90.72,116.64,0.78,19.44,14.58,17.82,
Case_090,Back,Back_090,0,-1.2,0.6,2.4,1.2,1.2,48.8,29.746667,70.19,16.17,13.64,200.56,5.31,18.44,18.97,34.02,35,43.74,46.98,90.72,116.64,0.78,19.44,14.58,35.64,
Case_091,Back,Back_091,0,-1.2,1.2,0,0,0,84.52,51.26,53.17,10.79,36.04,587.83,32.77,1.22,2.68,44.14,97.32,43.74,64.8,108.54,116.64,0.93,0,0,0,
Case_092,Back,Back_092,0,-1.2,1.2,0,0,0.6,78.34,47.916667,56.99,11.97,31.04,486.7,25.03,14.58,23.08,48.6,76.92,43.74,64.8,108.54,116.64,0.93,0,0,17.82,
Case_093,Back,Back_093,0,-1.2,1.2,0,0,1.2,67.03,43.276667,59.94,13.49,26.57,391.28,18.56,32,39.5,47.79,59,43.74,64.8,108.54,116.64,0.93,0,0,35.64,
Case_094,Back,Back_094,0,-1.2,1.2,0,0.6,0,83.62,50.953333,54.15,10.87,34.99,524.99,27.44,14.58,26.47,37.26,67.65,43.74,64.8,108.54,116.64,0.93,9.72,0,0,
Case_095,Back,Back_095,0,-1.2,1.2,0,0.6,0.6,76.56,47.916667,58.03,12.24,29.73,432.09,20.54,27.54,37.78,42.12,57.78,43.74,64.8,108.54,116.64,0.93,9.72,0,17.82,
Case_096,Back,Back_096,0,-1.2,1.2,0,0.6,1.2,66.32,42.71,60.76,14.07,25.17,343.68,14.64,33.45,36.88,47.14,51.96,43.74,64.8,108.54,116.64,0.93,9.72,0,35.64,
Case_097,Back,Back_097,0,-1.2,1.2,0,1.2,0,80.81,49.873333,56.62,11.36,32.02,458.33,22.84,18.22,28.12,36.86,56.88,43.74,64.8,108.54,116.64,0.93,19.44,0,0,
